model_size,concept,token_position,layer_bucket,vector_kind,peak_rel_mean,recovery_fraction_mean,total_downstream_change_mean,persistence_mean,next_token_kl_mean,n
2.8b,empathy,0,mid,linear_probe,0.017627853376325168,0.0,11.307399988174438,1.0,0.0004980190641617336,160
2.8b,empathy,0,mid,mean_diff,0.017265209578908924,0.0,11.144725322723389,1.0,0.0005268320132017369,160
2.8b,empathy,0,mid,random_orthogonal,0.01767674501752476,0.0,10.957969665527344,1.0,0.00045636507038575156,160
2.8b,politeness,-1,early,linear_probe,0.012972574499144638,0.0047330572890870275,19.94356992840767,0.9952669427109131,0.00024926466985558573,320
2.8b,politeness,-1,early,mean_diff,0.014256754507368848,0.01482343565934113,23.434875017404558,0.9851765643406589,0.0003021630964326103,320
2.8b,politeness,-1,early,random_orthogonal,0.012197019721497733,0.004107309695397711,19.191040083765984,0.9958926903046024,0.00020800482153614442,320
2.8b,politeness,-1,late,linear_probe,0.014654607366537625,0.0,3.902717025578022,1.0,0.001059013595477104,320
2.8b,politeness,-1,late,mean_diff,0.015124584460863793,0.0,3.932663946971297,1.0,0.0011750537330953595,320
2.8b,politeness,-1,late,random_orthogonal,0.012308429299446243,0.0,3.682797336578369,1.0,0.0001666302313423974,320
2.8b,politeness,-1,mid,linear_probe,0.014153145620366509,0.00047965548974820504,12.078034621477126,0.9995203445102518,0.0002486118257365529,160
2.8b,politeness,-1,mid,mean_diff,0.013025374925928142,0.009313817587002038,12.779550108313561,0.990686182412998,0.0002521858471368134,160
2.8b,politeness,-1,mid,random_orthogonal,0.01317706668341993,0.002218667649113036,11.961700758337974,0.9977813323508868,0.00022472836049015798,160
2.8b,politeness,0,early,linear_probe,0.017809084558393758,0.0,18.322145402431488,1.0,0.0005981912094739003,320
2.8b,politeness,0,early,mean_diff,0.019492956489557352,0.0,21.076444655656815,1.0,0.0007016131993168034,320
2.8b,politeness,0,early,random_orthogonal,0.01548014121362934,0.0,17.15296283364296,1.0,0.000545945295038967,320
2.8b,politeness,0,late,linear_probe,0.02189537757658394,0.0,4.189519971609116,1.0,0.00011981116050206145,320
2.8b,politeness,0,late,mean_diff,0.022493405849672805,0.0,4.214815765619278,1.0,0.00013317607867688986,320
