model_id,model_family,model_size_label,identity_frame,concept_axis,injection_site,layer_index,layer_bucket,vector_kind,alpha,axis_shift_mean,peak_displacement_mean,total_downstream_change_mean,end_of_pass_distance_mean,recovery_fraction_mean,next_token_kl_mean,next_token_js_mean,n
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,9,late,random_orthogonal,-1.0,0.01634073568527751,0.926987886428833,93.86290121078491,0.15248301066458225,0.0,1.4436597675085068,0.28675344213843346,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,9,late,random_orthogonal,1.0,0.01218790184448187,0.9756871461868286,98.11738777160645,0.15265399031341076,0.0015088383281091835,0.5941811949014664,0.13793890364468098,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,2,early,label_shuffled,-1.0,0.005381639137930336,8.188724398612976,853.6975417137146,0.1612064130604267,0.6190382168378439,1.7132218480110168,0.3122722879052162,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,2,early,label_shuffled,1.0,0.002862029430076917,0.5971287041902542,47.49487882852554,0.019581074360758066,0.24994755802705426,0.043753061443567276,0.010930727468803525,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,2,early,mean_diff,-1.0,0.005381639137930336,8.270310401916504,862.1714968681335,0.16339711472392082,0.6175216269888819,1.7188890874385834,0.31443654000759125,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,2,early,mean_diff,1.0,0.002862029430076917,0.6132023185491562,49.01020669937134,0.020089387893676758,0.25066901164164473,0.04406251851469278,0.011032265145331621,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,2,early,random_orthogonal,-1.0,0.0009215196022196732,0.8255095779895782,81.6289415359497,0.04035178292542696,0.0,0.12805389426648617,0.03282920131459832,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,2,early,random_orthogonal,1.0,0.0004969981624139037,0.7613206952810287,98.67930734157562,0.0517855416983366,0.0,0.1523643471300602,0.03831349313259125,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,9,late,label_shuffled,-1.0,0.010084348941026255,0.3490047827363014,32.189104080200195,0.03965476155281067,0.0434047820299614,0.06847674120217562,0.016796932322904468,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,9,late,label_shuffled,1.0,0.0,0.5426144748926163,40.66491508483887,0.04370739497244358,0.27716213587094773,0.08477703854441643,0.020812364760786295,4
